id,track_name,artist_name,album_name,external_url,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
7IxWqdG1zG0gaAFYq2q0Iy,Down By The Water,The Decemberists,The King Is Dead,https://open.spotify.com/track/7IxWqdG1zG0gaAFYq2q0Iy,2011-01-18,0.000754,0.487,221853,0.81,0,0.0,4,0.352,-4.067,0,48,0.0357,123.493,0.7020000000000001
7r6PigmGzlB3YPB7wvBBbi,No Church In The Wild,JAY-Z,Watch The Throne,https://open.spotify.com/track/7r6PigmGzlB3YPB7wvBBbi,2011-08-08,0.244,0.654,272507,0.75,1,0.0178,8,0.1669999999999999,-7.508999999999999,0,55,0.105,92.773,0.557
0p3YVGafB1214KOw5AokGv,"Sick, Sick, Sick",Bayside,Killing Time,https://open.spotify.com/track/0p3YVGafB1214KOw5AokGv,2011-01-01,0.000552,0.388,214107,0.8909999999999999,0,0.0246,6,0.336,-3.338,0,48,0.0816,172.065,0.5329999999999999
6NV8bM1StHDcWMoTVWix1J,She Was Mine (feat. Jesse Barrera),AJ Rafael,Red Roses,https://open.spotify.com/track/6NV8bM1StHDcWMoTVWix1J,2011-06-07,0.903,0.732,248454,0.462,0,0.0,5,0.176,-7.962999999999999,1,57,0.0363,121.061,0.518
21JTgoZLDB2F4Fx0uRCmTL,the lonely,Christina Perri,lovestrong.,https://open.spotify.com/track/21JTgoZLDB2F4Fx0uRCmTL,2011-05-10,0.573,0.237,233480,0.269,0,0.000283,7,0.101,-9.61,0,53,0.0298,81.256,0.0681
7JSpeGJpsXuRR1Go9pBPXc,Tropical Storm,Hypnosis Academy,Tropical Storm for Deep Sleep - Thunderstorm Sounds and Rain Sound Sounds of Nature White Noise,https://open.spotify.com/track/7JSpeGJpsXuRR1Go9pBPXc,2011-02-16,0.83,0.12,240000,0.998,0,0.897,9,0.505,-21.701,1,51,0.0755,147.787,1e-05
66mi3OKkrYHZkV9T62Ytyy,Let The Church Say Amen - Radio Edit,Andrae Crouch,Let The Church Say Amen (Radio Edit),https://open.spotify.com/track/66mi3OKkrYHZkV9T62Ytyy,2011-09-06,0.298,0.355,294813,0.536,0,0.0,1,0.145,-7.202000000000001,1,48,0.0461,147.878,0.265
4qQ8sToR3GNossXlwSlyKz,Ain't That A Kick In The Head - Remastered 1997,Dean Martin,At The Movies,https://open.spotify.com/track/4qQ8sToR3GNossXlwSlyKz,2011-01-01,0.627,0.68,147293,0.258,0,0.0,9,0.293,-11.995,1,53,0.0554,132.056,0.7809999999999999
4x9Wm15FC2xCuSPgVl7X7i,"Bounce, Rock, Skate, Roll (Remastered)",Vaughan Mason and Crew,"Bounce, Rock, Skate, Roll (Remastered)",https://open.spotify.com/track/4x9Wm15FC2xCuSPgVl7X7i,2011-02-08,0.00244,0.882,329000,0.589,0,0.000981,11,0.214,-7.604,0,48,0.0596,111.142,0.809
6z5mh42xSM54RncKZMM8hS,Call Me Back,The Strokes,Angles,https://open.spotify.com/track/6z5mh42xSM54RncKZMM8hS,2011-03-21,0.8640000000000001,0.736,182027,0.297,0,1.49e-05,2,0.0609,-9.648,1,54,0.0349,125.851,0.186
03zRY58mcXQvvwu9Iyy4a4,Sarcasm,Get Scared,Best Kind Of Mess,https://open.spotify.com/track/03zRY58mcXQvvwu9Iyy4a4,2011,0.00238,0.387,198080,0.929,0,7.22e-06,7,0.314,-4.825,0,58,0.161,180.359,0.591
1ffy4Bi6ROMpZTxIWyPMKG,Outside,Childish Gambino,Camp,https://open.spotify.com/track/1ffy4Bi6ROMpZTxIWyPMKG,2011-11-15,0.395,0.467,270053,0.557,1,0.0,2,0.118,-7.482,0,50,0.0972,175.274,0.187
47ji0KfmvI93CMDqppVj8p,Elevate,Big Time Rush,Elevate,https://open.spotify.com/track/47ji0KfmvI93CMDqppVj8p,2011,0.028,0.588,186480,0.86,0,0.0,8,0.564,-4.461,1,50,0.0767,129.945,0.622
