id,track_name,artist_name,album_name,external_url,preview_url,release_date
7IxWqdG1zG0gaAFYq2q0Iy,Down By The Water,The Decemberists,The King Is Dead,https://open.spotify.com/track/7IxWqdG1zG0gaAFYq2q0Iy,,2011-01-18
7r6PigmGzlB3YPB7wvBBbi,No Church In The Wild,JAY-Z,Watch The Throne,https://open.spotify.com/track/7r6PigmGzlB3YPB7wvBBbi,,2011-08-08
0p3YVGafB1214KOw5AokGv,"Sick, Sick, Sick",Bayside,Killing Time,https://open.spotify.com/track/0p3YVGafB1214KOw5AokGv,,2011-01-01
6NV8bM1StHDcWMoTVWix1J,She Was Mine (feat. Jesse Barrera),AJ Rafael,Red Roses,https://open.spotify.com/track/6NV8bM1StHDcWMoTVWix1J,,2011-06-07
21JTgoZLDB2F4Fx0uRCmTL,the lonely,Christina Perri,lovestrong.,https://open.spotify.com/track/21JTgoZLDB2F4Fx0uRCmTL,,2011-05-10
7JSpeGJpsXuRR1Go9pBPXc,Tropical Storm,Hypnosis Academy,Tropical Storm for Deep Sleep - Thunderstorm Sounds and Rain Sound Sounds of Nature White Noise,https://open.spotify.com/track/7JSpeGJpsXuRR1Go9pBPXc,,2011-02-16
66mi3OKkrYHZkV9T62Ytyy,Let The Church Say Amen - Radio Edit,Andrae Crouch,Let The Church Say Amen (Radio Edit),https://open.spotify.com/track/66mi3OKkrYHZkV9T62Ytyy,,2011-09-06
4qQ8sToR3GNossXlwSlyKz,Ain't That A Kick In The Head - Remastered 1997,Dean Martin,At The Movies,https://open.spotify.com/track/4qQ8sToR3GNossXlwSlyKz,,2011-01-01
4x9Wm15FC2xCuSPgVl7X7i,"Bounce, Rock, Skate, Roll (Remastered)",Vaughan Mason and Crew,"Bounce, Rock, Skate, Roll (Remastered)",https://open.spotify.com/track/4x9Wm15FC2xCuSPgVl7X7i,,2011-02-08
6z5mh42xSM54RncKZMM8hS,Call Me Back,The Strokes,Angles,https://open.spotify.com/track/6z5mh42xSM54RncKZMM8hS,,2011-03-21
03zRY58mcXQvvwu9Iyy4a4,Sarcasm,Get Scared,Best Kind Of Mess,https://open.spotify.com/track/03zRY58mcXQvvwu9Iyy4a4,,2011
1ffy4Bi6ROMpZTxIWyPMKG,Outside,Childish Gambino,Camp,https://open.spotify.com/track/1ffy4Bi6ROMpZTxIWyPMKG,,2011-11-15
47ji0KfmvI93CMDqppVj8p,Elevate,Big Time Rush,Elevate,https://open.spotify.com/track/47ji0KfmvI93CMDqppVj8p,,2011
5vjR4LUikpN6LhpxRWK6k2,Roam,The Story So Far,Under Soil and Dirt,https://open.spotify.com/track/5vjR4LUikpN6LhpxRWK6k2,,2011-06-21
3B0hzwc1e8AYOytj9hZS2I,ULTRAnumb,Blue Stahli,Blue Stahli (Deluxe Edition),https://open.spotify.com/track/3B0hzwc1e8AYOytj9hZS2I,,2011-03-02
36hZ7e1xqFtskCjKJyzaUy,Quién Eres Tú,Grupo Laberinto,El Parrandero,https://open.spotify.com/track/36hZ7e1xqFtskCjKJyzaUy,,2011-01-06
4Eeq5qMOQ8VV5IfPxVX1Zh,Amor Te Amo,Tierra Cali,12 Alegres y Calentanos Exitos,https://open.spotify.com/track/4Eeq5qMOQ8VV5IfPxVX1Zh,,2011-01-01
21FyeXi7sykXk9HRlf3Aul,Semper Fi,Trace Adkins,Proud To Be Here (Deluxe Edition),https://open.spotify.com/track/21FyeXi7sykXk9HRlf3Aul,,2011-01-01
4Nomj38R7Ds0P8I8orW2Tv,Out of My Head (feat. Trey Songz),Lupe Fiasco,Lasers,https://open.spotify.com/track/4Nomj38R7Ds0P8I8orW2Tv,,2011-03-04
2H2Tg24kqd1eA3F7BSQFSi,Qué Voy a Hacer Con Mi Amor,Alejandro Fernández,Lo Esencial De Alejandro Fernández,https://open.spotify.com/track/2H2Tg24kqd1eA3F7BSQFSi,,2011-08-16
5n44Y1e8exufbm9mmAvopf,Goodbye Brother,Ramin Djawadi,Game Of Thrones (Music From The HBO Series),https://open.spotify.com/track/5n44Y1e8exufbm9mmAvopf,,2011-01-01
0tGkExOwqbXyl9rp3gO89b,Downtown Girl,Hot Chelle Rae,Whatever,https://open.spotify.com/track/0tGkExOwqbXyl9rp3gO89b,,2011-11-25
6aVJQcBuTixMKRbpZYdohf,Pieces Of Me,Ledisi,Pieces Of Me,https://open.spotify.com/track/6aVJQcBuTixMKRbpZYdohf,,2011-01-01
6vhRmymsQaWhVegaK7aTDe,Can You Feel It (feat. Wiz Khalifa),Sublime With Rome,Yours Truly (Deluxe Edition),https://open.spotify.com/track/6vhRmymsQaWhVegaK7aTDe,,2011-07-08
5d6nTdahyEnH1TILFC0Tp3,Just The Way You Are,Pierce The Veil,"Punk Goes Pop, Vol. 4",https://open.spotify.com/track/5d6nTdahyEnH1TILFC0Tp3,,2011-11-21
3I4wuL82QeU3IR518TuV33,Only If For A Night,Florence + The Machine,Ceremonials (Deluxe Edition),https://open.spotify.com/track/3I4wuL82QeU3IR518TuV33,,2011-01-01
20fQVuio8RcGPleqONoGx6,Camuflaje,Alexis y Fido,Perreología,https://open.spotify.com/track/20fQVuio8RcGPleqONoGx6,,2011-03-21
0R97k5AJy1udJI6mGV82FJ,Dirty Mind,3OH!3,Dirty Mind,https://open.spotify.com/track/0R97k5AJy1udJI6mGV82FJ,,2011-12-20
3FsR3a2GxUmEwnpCy8kQfj,iBETiGOTSUMWEED,ScHoolboy Q,Setbacks,https://open.spotify.com/track/3FsR3a2GxUmEwnpCy8kQfj,,2011-01-11
6iw32k0OUKHildYsQTRnVB,"Flightless Bird, American Mouth - Wedding Version",Iron & Wine,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),https://open.spotify.com/track/6iw32k0OUKHildYsQTRnVB,,2011-11-04
3xfaeVCJtqH54aZlJalvdr,Cielo - 2002,Benny,Ximena Sarinana & Benny / Frente a Frente,https://open.spotify.com/track/3xfaeVCJtqH54aZlJalvdr,,2011-08-02
46aIq2GKW7Vr6i4g2Vvycd,Ai Se Eu Te Pego - Ao Vivo,Michel Teló,Na Balada (Ao Vivo),https://open.spotify.com/track/46aIq2GKW7Vr6i4g2Vvycd,,2011-08-21
6cLxNwJmqxLbmbGPP8ulQr,If You Ever Come Back,The Script,Science & Faith (US Version),https://open.spotify.com/track/6cLxNwJmqxLbmbGPP8ulQr,,2011-01-18
5WDlNHQW1LmcQIA15oGjiW,distance,Christina Perri,lovestrong.,https://open.spotify.com/track/5WDlNHQW1LmcQIA15oGjiW,,2011-05-10
3GJZLvGXaVszYdSBLMtJFX,Strength of a Thousand Men,Thomas Bergersen,Archangel,https://open.spotify.com/track/3GJZLvGXaVszYdSBLMtJFX,,2011-09-20
3L2YOO6dDiB91M1AbQ0CCR,No Make-Up (Her Vice) (feat. Colin Munroe),Kendrick Lamar,Section.80,https://open.spotify.com/track/3L2YOO6dDiB91M1AbQ0CCR,,2011-07-02
5LCuFER5mMzL0fGNpClksf,Sister,The Black Keys,El Camino,https://open.spotify.com/track/5LCuFER5mMzL0fGNpClksf,,2011-12-06
7aZDLCAqie3RYzCrBFXOJL,Period,CHEMISTRY,Chemistry 2001-2011,https://open.spotify.com/track/7aZDLCAqie3RYzCrBFXOJL,,2011-03-02
5o5KX1f1JBQ2SxGzE8RQQA,It's Good,Lil Wayne,Tha Carter IV (Deluxe),https://open.spotify.com/track/5o5KX1f1JBQ2SxGzE8RQQA,,2011-01-01
2M98FO4fkGec4lzsafk8YY,Intoxicated,The Cab,Symphony Soldier,https://open.spotify.com/track/2M98FO4fkGec4lzsafk8YY,,2011
7FiotLvz43ez091HX0bnmQ,Ocean Front Property,George Strait,Best Of (Deluxe Edition),https://open.spotify.com/track/7FiotLvz43ez091HX0bnmQ,,2011-01-01
75Y88Zol5lYhme2YOI544T,The Stand,Mother Mother,Eureka,https://open.spotify.com/track/75Y88Zol5lYhme2YOI544T,,2011-03-15
1tF370eYXUcWwkIvaq3IGz,I Got A Feelin',Billy Currington,Best Of,https://open.spotify.com/track/1tF370eYXUcWwkIvaq3IGz,,2011-01-01
0VamAmertqIxKM5axPSkCy,Bailando por Ahi,Juan Magán,Bailando por Ahi,https://open.spotify.com/track/0VamAmertqIxKM5axPSkCy,,2011-05-15
1JyG5yuwpN0VIi4wbqvDfB,Man Or Muppet,Jason Segel,The Muppets (Original Motion Picture Soundtrack),https://open.spotify.com/track/1JyG5yuwpN0VIi4wbqvDfB,,2011-11-21
2uhaDVmfG7pT94VO5jl2r4,Lo Mejor de Mi Vida Eres Tú (feat. Natalia Jiménez),Ricky Martin,Más Música + Alma + Sexo,https://open.spotify.com/track/2uhaDVmfG7pT94VO5jl2r4,,2011-11-15
3JhNsyNQSyrsHcnFRHZN1e,Black Flies,Ben Howard,Every Kingdom,https://open.spotify.com/track/3JhNsyNQSyrsHcnFRHZN1e,,2011-01-01
775OxWq9wfVzmVDS0n3zff,Statues,Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",https://open.spotify.com/track/775OxWq9wfVzmVDS0n3zff,,2011-07-12
6C7YFHZnzkSMsR5Hu4xVfL,Hold You Down,Childish Gambino,Camp,https://open.spotify.com/track/6C7YFHZnzkSMsR5Hu4xVfL,,2011-11-15
6WF4hzdGXvXd1joERSXJjm,Hurts Like Heaven,Coldplay,Mylo Xyloto,https://open.spotify.com/track/6WF4hzdGXvXd1joERSXJjm,,2011-10-24
4sLGaMl33I6mcsk7u4xHAU,Codex,Radiohead,The King Of Limbs,https://open.spotify.com/track/4sLGaMl33I6mcsk7u4xHAU,,2011-02-18
31DmTztbIIsv6wSE93S4fZ,El Mejor Perfume,La Original Banda El Limón de Salvador Lizárraga,El Primer Lugar,https://open.spotify.com/track/31DmTztbIIsv6wSE93S4fZ,,2011-01-01
1U69jy6P8Kz0hdNOuzbRCk,Morenita,Marco Antonio Solís,¡Viva la Reina de México!,https://open.spotify.com/track/1U69jy6P8Kz0hdNOuzbRCk,,2011-12-01
6jAyMqsMuu7NTmefJVE8Pc,Half Moon,Blind Pilot,We Are the Tide,https://open.spotify.com/track/6jAyMqsMuu7NTmefJVE8Pc,,2011-09-13
3oMgeBTWn2AbLzVHbhmZI6,Reptile's Theme,Skrillex,Reptile's Theme,https://open.spotify.com/track/3oMgeBTWn2AbLzVHbhmZI6,,2011-01-01
5zes2uxTNuqNlO6toDTZN5,Primetime,JAY-Z,Watch The Throne (Deluxe),https://open.spotify.com/track/5zes2uxTNuqNlO6toDTZN5,,2011-08-08
6eRPYyh1EPRqDhgb3Nardw,Spirit of Life,Blackmill,Miracle,https://open.spotify.com/track/6eRPYyh1EPRqDhgb3Nardw,,2011-12-21
0Gs5zsjp7Rp2i41yMgNxCf,Stay Together,Ledisi,Pieces Of Me,https://open.spotify.com/track/0Gs5zsjp7Rp2i41yMgNxCf,,2011-01-01
2aDsxXzs55S9I7THzNoHdD,Body 2 Body,Ace Hood,Blood Sweat & Tears (Deluxe),https://open.spotify.com/track/2aDsxXzs55S9I7THzNoHdD,,2011-01-01
0QIcBEx2NtaMkAeqOpnqjL,El Corrido De La Estrella,Grupo Laberinto,Me Voy Como Vine,https://open.spotify.com/track/0QIcBEx2NtaMkAeqOpnqjL,,2011-11-11
5iYUt3rsgrGFU0nugdhYwj,Rumour Has It / Someone Like You,Glee Cast,"Glee: The Music, Volume 7",https://open.spotify.com/track/5iYUt3rsgrGFU0nugdhYwj,,2011-12-06
7Cj2tT0m2SBeIO1PsGfk8A,Grenade - Acoustic,Bruno Mars,The Grenade Sessions,https://open.spotify.com/track/7Cj2tT0m2SBeIO1PsGfk8A,,2011-02-08
2t97pZAsSgraYlocMNhkSe,Hold Me (feat. Tobymac),Jamie Grace,One Song at a Time,https://open.spotify.com/track/2t97pZAsSgraYlocMNhkSe,,2011-09-20
0kZEfdlIq3sfQklsGcUZDm,Droopy Likes Your Face,C418,Minecraft - Volume Alpha,https://open.spotify.com/track/0kZEfdlIq3sfQklsGcUZDm,,2011-03-04
2X42KFgnOSaxOHMG0nDOdj,Fight for You,Jason Derulo,Future History (Deluxe Edition),https://open.spotify.com/track/2X42KFgnOSaxOHMG0nDOdj,,2011-09-16
3JWkjpMCesLuBbz2LMMDgz,Drunk Off Your Love (feat. Sky Blu of LMFAO),Shwayze,Island in the Sun,https://open.spotify.com/track/3JWkjpMCesLuBbz2LMMDgz,,2011-09-13
34LcXo2NQttotmy7XzlKsY,Eyes,Kaskade,Fire & Ice,https://open.spotify.com/track/34LcXo2NQttotmy7XzlKsY,,2011-11-08
4kgEQKp5Y4ltlxM9rh4jXW,Contrabando Y Traición,Los Tigres Del Norte,Tr3s Presents MTV Unplugged Los Tigres Del Norte And Friends,https://open.spotify.com/track/4kgEQKp5Y4ltlxM9rh4jXW,,2011-01-01
0ni8h8HAJNFwuL9cMWR9XN,The Regulator,Clutch,Blast Tyrant (Deluxe Edition),https://open.spotify.com/track/0ni8h8HAJNFwuL9cMWR9XN,,2011-05-10
6uBexmz61ckt5XQRqTgF3M,Distant Sures,The Cave Singers,No Witch,https://open.spotify.com/track/6uBexmz61ckt5XQRqTgF3M,,2011-02-22
05wB0mSpDASexc98oKZCOw,Bilgewater,Brown Bird,Salt For Salt,https://open.spotify.com/track/05wB0mSpDASexc98oKZCOw,,2011-10-18
6wt538gLCcV38weNmJjU0z,At the Hop,Angelo Grey Band,San Valentino (Love Affinity),https://open.spotify.com/track/6wt538gLCcV38weNmJjU0z,,2011-01-20
5Ukzlujip1Slqka5OY82YS,U.N.I.,Ed Sheeran,+,https://open.spotify.com/track/5Ukzlujip1Slqka5OY82YS,,2011-09-09
0oFCz4vOMbg9dRmV69K1vG,Around My Head,Cage The Elephant,Thank You Happy Birthday,https://open.spotify.com/track/0oFCz4vOMbg9dRmV69K1vG,,2011-01-10
