id,track_name,artist_name,album_name,external_url,preview_url,release_date
74uXfGRDayyx7UIV1irrhK,Wrong Turns,Old Dominion,Meat and Candy,https://open.spotify.com/track/74uXfGRDayyx7UIV1irrhK,,2015-11-06
6JzCO4ZzxAXhY86vTcqM1Q,Desire - Gryffin Remix,Olly Alexander (Years & Years),Desire (Gryffin Remix),https://open.spotify.com/track/6JzCO4ZzxAXhY86vTcqM1Q,,2015-09-18
2kyEgPaAW8wdpvevPnkf0Z,Ave Maria,Charles Gounod,Songs from the Arc of Life,https://open.spotify.com/track/2kyEgPaAW8wdpvevPnkf0Z,,2015-09-18
3X3mfRMRaPJRiIMDMQtSkd,Landslide,Oh Wonder,Oh Wonder,https://open.spotify.com/track/3X3mfRMRaPJRiIMDMQtSkd,,2015-09-04
31L9yLXSj6LpCFupyMV6CR,Up&Up,Coldplay,A Head Full of Dreams,https://open.spotify.com/track/31L9yLXSj6LpCFupyMV6CR,,2015-12-04
0WE8YTl6GAVHnkfvMfci98,Drinkee,Sofi Tukker,Drinkee,https://open.spotify.com/track/0WE8YTl6GAVHnkfvMfci98,,2015-10-02
7mgI1HLrLMlIHL3wzotbyM,Teenage Blue,Dreamgirl,Illuminaughty - EP,https://open.spotify.com/track/7mgI1HLrLMlIHL3wzotbyM,,2015-02-14
1aMoqIYGFADaV3nPaSKL7X,Lost And Found,Iration,Hotting Up,https://open.spotify.com/track/1aMoqIYGFADaV3nPaSKL7X,,2015-08-28
3SipFlNddvL0XNZRLXvdZD,Heroes Tonight,Janji,Heroes Tonight,https://open.spotify.com/track/3SipFlNddvL0XNZRLXvdZD,,2015-06-09
1UuZhGTon3gzXQAJzNa2A4,"Towards The Sun - From The ""Home"" Soundtrack",Rihanna,Home (Original Motion Picture Soundtrack),https://open.spotify.com/track/1UuZhGTon3gzXQAJzNa2A4,,2015-03-23
5u7o3wXWJI7AN1b9KIf3m8,Liquor,Chris Brown,Royalty (Deluxe Version),https://open.spotify.com/track/5u7o3wXWJI7AN1b9KIf3m8,,2015-12-18
0wNhTMsDRLWAPxGOQRqkOR,Coffee Talk,Broadside,Old Bones,https://open.spotify.com/track/0wNhTMsDRLWAPxGOQRqkOR,,2015-05-18
38kjFXYgPvtuXCPbHPMGte,Prey,The Neighbourhood,Wiped Out!,https://open.spotify.com/track/38kjFXYgPvtuXCPbHPMGte,,2015-10-30
2JRkfugsvOPvTLmd0dVppc,It Was A Sin,The Revivalists,Men Amongst Mountains,https://open.spotify.com/track/2JRkfugsvOPvTLmd0dVppc,,2015-07-15
5qGavrnGfH766WNp5pZXS2,Gimme All Your Love,Alabama Shakes,Sound & Color,https://open.spotify.com/track/5qGavrnGfH766WNp5pZXS2,,2015-04-21
2s9C5THb9llwyVXtjveV4E,Firefly,Mura Masa,Someday Somewhere,https://open.spotify.com/track/2s9C5THb9llwyVXtjveV4E,,2015-04-10
5MCG4XcVcvCOXWpSg2cfRC,Shoulders,for KING & COUNTRY,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),https://open.spotify.com/track/5MCG4XcVcvCOXWpSg2cfRC,,2015-10-22
5xcYuTciYwyCDPkOgYBAYz,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Sergei Rachmaninoff,Rachmaninov Variations,https://open.spotify.com/track/5xcYuTciYwyCDPkOgYBAYz,,2015-08-28
46fHLVEQBcyC8VjnmdDF3q,All I See Is You,Shane Smith & the Saints,Geronimo,https://open.spotify.com/track/46fHLVEQBcyC8VjnmdDF3q,,2015-09-11
5NLT6uux4omoMlIFlBxRSI,Personality (feat. T Pain),Lil Dicky,Professional Rapper,https://open.spotify.com/track/5NLT6uux4omoMlIFlBxRSI,,2015-07-31
21aD24K6JOf0F0qx6HJ0dy,Daddy Doesn't Pray Anymore,Chris Stapleton,Traveller,https://open.spotify.com/track/21aD24K6JOf0F0qx6HJ0dy,,2015-05-04
6ZA3Q8Dj5BrnmOsT300DCh,Ice Cream Man,Tyga,Fuk Wat They Talkin Bout,https://open.spotify.com/track/6ZA3Q8Dj5BrnmOsT300DCh,,2015-08-24
4FqMPJlvfY5Nfo3gRKcNxl,Colors,Halsey,BADLANDS (Deluxe),https://open.spotify.com/track/4FqMPJlvfY5Nfo3gRKcNxl,,2015-08-28
0Bl1Gt8R9kjz7JO7SYAuhe,Shalala,Moses Gunn Collective,Mercy Mountain,https://open.spotify.com/track/0Bl1Gt8R9kjz7JO7SYAuhe,,2015-08-07
09xjHXcaES9oei36G0KzcD,Wine Glass,Koe Wetzel,Out on Parole,https://open.spotify.com/track/09xjHXcaES9oei36G0KzcD,,2015-01-05
1r1WtSrPbAOYHE7zwq4eqK,Haunting,Halsey,BADLANDS (Deluxe),https://open.spotify.com/track/1r1WtSrPbAOYHE7zwq4eqK,,2015-08-28
23bOfmnZiN42pB1frXNyak,Paper Trail$,Joey Bada$$,B4.DA.$$,https://open.spotify.com/track/23bOfmnZiN42pB1frXNyak,,2015-01-20
3jg8bevUzKYONDLBBQquif,Never Catch Me,Travis Scott,Rodeo,https://open.spotify.com/track/3jg8bevUzKYONDLBBQquif,,2015-09-04
5GhJq5J9ZWIEDZdyw7EWzt,Real Sisters,Future,DS2 (Deluxe),https://open.spotify.com/track/5GhJq5J9ZWIEDZdyw7EWzt,,2015-07-17
4gowy3WT6D1yhMLgRBlf9C,Change Locations,Drake,What A Time To Be Alive,https://open.spotify.com/track/4gowy3WT6D1yhMLgRBlf9C,,2015-09-20
