id,track_name,artist_name,album_name,external_url,preview_url,release_date
0C7dYeCLF6ukChtW64UNge,Girl You Know It's True,Milli Vanilli,Girl You Know It's True - The Best Of Milli Vanilli,https://open.spotify.com/track/0C7dYeCLF6ukChtW64UNge,,2013-07-26
37Zk6qRzpQEl0xWon4rXPy,Come over (feat. James Fauntleroy),Nipsey Hussle,Crenshaw,https://open.spotify.com/track/37Zk6qRzpQEl0xWon4rXPy,,2013-10-22
63ZKUKbwb6Zozlk8LJCiPB,We Still in this Bitch (feat. T.I. and Juicy J),B.o.B,We Still in This Bitch (feat. T.I. and Juicy J),https://open.spotify.com/track/63ZKUKbwb6Zozlk8LJCiPB,,2013-01-08
18CctEeOpjEDIAvWM5S7RE,The Streets of Whiterun,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,https://open.spotify.com/track/18CctEeOpjEDIAvWM5S7RE,,2013-01-31
33Wx1OQWGptIxD4dEA4PEK,The Night I Drove Alone,Citizen,Youth,https://open.spotify.com/track/33Wx1OQWGptIxD4dEA4PEK,,2013-06-30
3oRuCzqdduzZ2CBhAtv8zO,Portrait Gallery,Luke Howard,"Sun, Cloud",https://open.spotify.com/track/3oRuCzqdduzZ2CBhAtv8zO,,2013-05-06
77tsD2Ai9gdjePMqF4TxPS,Dark Angel (feat. Kevin Gates),Trae Tha Truth,I Am King,https://open.spotify.com/track/77tsD2Ai9gdjePMqF4TxPS,,2013-11-25
7ncDwhSTgCZuL3OZNkvZ97,Niggaz Know,J. Cole,Born Sinner,https://open.spotify.com/track/7ncDwhSTgCZuL3OZNkvZ97,,2013-06-14
2XPNF1bC6w4HQUn8QPMsyn,While You Count Sheep,Jon Bellion,Translations Through Speakers,https://open.spotify.com/track/2XPNF1bC6w4HQUn8QPMsyn,,2013-02-20
66YYtAnqxkLkLvTozN6feN,Mientras Tú Jugabas,Banda Los Recoditos,El Free,https://open.spotify.com/track/66YYtAnqxkLkLvTozN6feN,,2013-01-01
12v5GBM74fB8WsHJPQRTIe,Nakamarra (feat. Q-Tip),Hiatus Kaiyote,Tawk Tomahawk,https://open.spotify.com/track/12v5GBM74fB8WsHJPQRTIe,,2013-07-12
5idmfDT06TjCQ1SPDsa5qh,Kiss Land,The Weeknd,Kiss Land,https://open.spotify.com/track/5idmfDT06TjCQ1SPDsa5qh,,2013-09-10
