id,track_name,artists,album_name,external_url,preview_url,release_date
0w0D8H1ubRerCXHWYJkinO,Shout to the Lord,David Bauer,Quiet Moments of Instrumental Worship,https://open.spotify.com/track/0w0D8H1ubRerCXHWYJkinO,,2000
4JVeqfE2tpi7Pv63LJZtPh,Miss You,Etta James,Matriarch Of The Blues,https://open.spotify.com/track/4JVeqfE2tpi7Pv63LJZtPh,,2000-12-12
5pxtdhLAi0RTh1gNqhGMNA,Real Eyes,Quasimoto,The Unseen,https://open.spotify.com/track/5pxtdhLAi0RTh1gNqhGMNA,,2000-06-13
3jRsoe4Vkxa4BMYqGHX8L0,Penguins & Polarbears,Millencolin,Pennybridge Pioneers,https://open.spotify.com/track/3jRsoe4Vkxa4BMYqGHX8L0,,2000-02-22
4mronxcllhfyhBRqyZi8kU,黃昏,Steve Chou,Transfer,https://open.spotify.com/track/4mronxcllhfyhBRqyZi8kU,,2000-12-25
0SlljMy4uEgoVPCyavtcHH,Self Conscience - Dirty Version,Prodigy,Nas & Ill Will Records Presents Queensbridge the album,https://open.spotify.com/track/0SlljMy4uEgoVPCyavtcHH,,2000-11-06
2IHmR8p2poiSaS3cgBKmOt,Arcarsenal,At the Drive-In,Relationship Of Command,https://open.spotify.com/track/2IHmR8p2poiSaS3cgBKmOt,,2000
4Zp7iCDJU2BfD7SOLuSa6X,Barney Theme Song,Barney,Barney's Greatest Hits: The Early Years,https://open.spotify.com/track/4Zp7iCDJU2BfD7SOLuSa6X,,2000-01-01
1losCJa0dcFV6HgZoqEESf,Spiral,Godsmack,Awake,https://open.spotify.com/track/1losCJa0dcFV6HgZoqEESf,,2000-10-31
4mWNwMmBADo548bT4xYtDo,Earth,Hans Zimmer,Gladiator - Music From The Motion Picture,https://open.spotify.com/track/4mWNwMmBADo548bT4xYtDo,,2000-04-25
5n9QhVJS3XSjSc9kNJNEIU,Nothing From Nothing,Billy Preston,Ultimate Collection: Billy Preston,https://open.spotify.com/track/5n9QhVJS3XSjSc9kNJNEIU,,2000-01-01
49rEKkP4P0nKhxMdPxaYzP,In The Highways,The Peasall Sisters,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",https://open.spotify.com/track/49rEKkP4P0nKhxMdPxaYzP,,2000-12-05
4IyK8htJJzbRjPihpMouWu,"Ellens Gesang III (Ave Maria!), Op. 52 No. 6, D. 839 ""Hymne an die Jungfrau” [Version for Choir]",Franz Schubert,"Catholic Classics, Vol. 4: Catholic Latin Classics",https://open.spotify.com/track/4IyK8htJJzbRjPihpMouWu,,2000-01-01
5i3lYkjBeJdbdNY383bJ1f,Take Care Of Home,Dave Hollister,Chicago '85...The Movie,https://open.spotify.com/track/5i3lYkjBeJdbdNY383bJ1f,,2000-01-01
66xErjM5Uym1xvQLhPi6Qs,Olvidala,Junior & Jorge,Tu Vas A Volar,https://open.spotify.com/track/66xErjM5Uym1xvQLhPi6Qs,,2000
7LQyIbPLk22Qem2rNmitCL,Bloodstains - Re-Recorded,Agent Orange,"Greatest & Latest: This, That-n-The Other Thing",https://open.spotify.com/track/7LQyIbPLk22Qem2rNmitCL,,2000
1liqxWv5Stjdtor4n3S9cZ,Born Too Late,The Clarks,Let It Go,https://open.spotify.com/track/1liqxWv5Stjdtor4n3S9cZ,,2000-06-20
2Mh3mh3aKeAgLKaUyDQZbv,Madness,Deltron 3030,Deltron 3030,https://open.spotify.com/track/2Mh3mh3aKeAgLKaUyDQZbv,,2000
4OhDlODBpYNg4tuWHh8kj2,It Don't Matter,Rehab,Southern Discomfort,https://open.spotify.com/track/4OhDlODBpYNg4tuWHh8kj2,,2000
50PHi5BOQPjTng4JRKvm2L,Flutes of Chi,Ween,White Pepper,https://open.spotify.com/track/50PHi5BOQPjTng4JRKvm2L,,2000-05-02
6YhrPNvIJga1ACuEmsyaPO,Bailando Con El,Elvis Martinez,Directo Al Corazon,https://open.spotify.com/track/6YhrPNvIJga1ACuEmsyaPO,,2000-05-01
2PsIEl2MF6biKim5ylw3vm,El Tarasco,Los Razos,El Tarasco,https://open.spotify.com/track/2PsIEl2MF6biKim5ylw3vm,,2000-01-01
